,user_id_hashed,#business,#sports,#fun_facts,#international,#animals,#national,#health_n_fitness,#entertainment,#fashion,#automotive,#food,#technology,#travel,#games,#music,n/a
2169,mPabnl8jWNo/iLG9OWsCPRZmc+focjjtjEsLtw==,"[0, 0]","[1.0, 989.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3.0, 2853.0]","[1.0, 3028.0]","[1.0, 922.0]","[1.0, 7671.0]","[0, 0]","[2.0, 1807.0]","[0, 0]","[1.0, 3004.0]","[0, 0]","[3.0, 2727.0]"
2170,LZ7E4kDs5HFd/i8akF4IunIPCPaNzcOAi2ZPbw==,"[1.0, 30368.0]","[2.0, 143601.0]","[0, 0]","[2.0, 108389.0]","[6.0, 379581.0]","[16.0, 2569428.0]","[4.0, 39916.0]","[23.0, 1175834.0]","[0, 0]","[1.0, 1443.0]","[3.0, 49860.0]","[1.0, 25202.0]","[5.0, 23421.0]","[13.0, 48262.0]","[1.0, 21491.0]","[24.0, 1184759.0]"
2171,eomFQCnR1q7SlqmfYH7ZwF8RQjt165TtcjSoiA==,"[6.0, 5651.0]","[9.0, 24221.0]","[0, 0]","[2.0, 3651.0]","[5.0, 12349.0]","[10.0, 20226.0]","[2.0, 3444.0]","[7.0, 11894.0]","[1.0, 753.0]","[1.0, 1492.0]","[5.0, 5887.0]","[3.0, 39177.0]","[5.0, 25016.0]","[4.0, 4926.0]","[0, 0]","[10.0, 25192.0]"
2172,cmvxKnXKDXuu83FAxPLSkGb3Xc5TxIdFU8SK3g==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3.0, 163150.0]","[0, 0]","[0, 0]","[1.0, 1665.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 490.0]","[0, 0]","[0, 0]","[2.0, 609975.0]"
2173,q9/IH4i1t0qm9lT5txtyeuEenIMxD1+iyKOcxw==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 1633.0]","[1.0, 6324.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 5013.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
2174,2H0JWUvC9nykGnY3QJlPrFTSJiewV6DxkZ+4Nw==,"[1.0, 1052.0]","[0, 0]","[4.0, 2900.0]","[0, 0]","[15.0, 23763.0]","[9.5, 81770.0]","[0, 0]","[29.5, 40822.0]","[0, 0]","[0, 0]","[2.0, 1819.0]","[3.0, 3022.0]","[12.0, 81836.0]","[0, 0]","[0, 0]","[14.0, 22882.0]"
2175,MdZ2mNL0UCs3ezozASykwJIiAwTQpv9MeTE7iw==,"[6.5, 202173.5]","[5.0, 147705.0]","[3.0, 11452.0]","[6.5, 110254.0]","[3.0, 30057.0]","[46.0, 2626027.5]","[3.0, 159755.0]","[0, 0]","[4.0, 129577.0]","[1.0, 17600.0]","[0, 0]","[9.0, 267800.0]","[3.0, 42160.0]","[6.0, 130904.0]","[0, 0]","[46.0, 2639882.5]"
2176,mtOUFjlw9zuOedtlCv7iC4PU1pW45HUgLS2yhg==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 3070.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1, 6641.0]"
2177,rxvzKP8AmXX/QhIXzZkVxfLPK4RyLR8mNjDjgg==,"[11.0, 11075.0]","[13.0, 34160.0]","[1.0, 699.0]","[8.0, 26183.0]","[11.0, 9948.0]","[13.0, 16485.0]","[4.0, 11198.0]","[13.0, 10816.0]","[8.0, 6506.0]","[4.0, 15493.0]","[10.0, 7163.0]","[4.0, 4664.0]","[9.0, 8105.0]","[2.0, 5159.0]","[0, 0]","[12.0, 11862.0]"
2178,yVQdvF2tnuILKG7z/eRcjZorQkq4zSDQvxAg0w==,"[18.0, 534596.0]","[0, 0]","[6.0, 292572.0]","[18.5, 1245869.5]","[6.0, 45113.0]","[54.5, 2220556.5]","[6.0, 514307.0]","[117.0, 2698948.0]","[0, 0]","[5.0, 92573.0]","[3.0, 1650446.0]","[18.0, 915319.0]","[9.0, 222274.0]","[5.0, 53766.0]","[5.0, 61856.0]","[7.0, 48100.0]"
2179,Y8iwLumydg8m8jFR2XvBof/V+jh2kOLZHUUpaA==,"[5.0, 3926.0]","[0, 0]","[0, 0]","[9.0, 62899.0]","[2.0, 2288.0]","[35.0, 226269.0]","[7.0, 18695.0]","[0, 0]","[0, 0]","[4.0, 4400.0]","[3.0, 2047.0]","[6.0, 27146.0]","[3.0, 6298.0]","[5.0, 49171.0]","[0, 0]","[10.0, 63740.0]"
2180,9TYLHDVlq2ESO2mxOwHjUvD5uWwu/PGa6wk9pg==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 9816548.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 3901.0]","[0, 0]","[3.0, 6426.0]"
2181,ON58RmQ5AgzAKIeW0c54xgC5K5+V6w/7xbgRdw==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 63746.0]","[0, 0]","[0, 0]","[2.0, 5274.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 48745.0]","[0, 0]","[0, 0]","[3.0, 6525.0]"
2182,7G+kMhpZEPtMSF09ck2k6jJMJZXVHUMmnRqbFw==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 20581.0]","[2.0, 194212.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 13620.0]","[2.0, 88961.0]","[0, 0]","[1, 82248.0]"
2183,OT5ol2FIq7UBEzX8fLc/GNx1fC4bO5FP/L7XTg==,"[0, 0]","[2.0, 1292.0]","[0, 0]","[0, 0]","[0, 0]","[3.0, 201291.0]","[4.0, 8692.0]","[1.0, 2812.0]","[0, 0]","[0, 0]","[1.0, 66466.0]","[0, 0]","[1.0, 1047.0]","[0, 0]","[0, 0]","[3.0, 3127.0]"
2184,9F/KK42dAzblupS/qS2d2uP+N62NKIeNB9089w==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 5786.0]","[1.0, 3816.0]","[0, 0]","[0, 0]","[1.0, 10933.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3.0, 2931.0]","[0, 0]","[0, 0]"
2185,ZUBCwCS87NwFdSXp9G/V0J6xVfLgKJ86pfNPdg==,"[32.0, 44784.5]","[0, 0]","[5.0, 7385.0]","[29.0, 68747.0]","[1.0, 512.0]","[60.5, 200844.0]","[10.0, 7466.0]","[55.5, 168354.5]","[10.0, 6300.0]","[9.5, 6463.0]","[2.0, 4637.0]","[17.5, 38290.0]","[6.0, 3175.0]","[8.0, 32052.0]","[1.0, 501.0]","[61.5, 202912.0]"
2186,DfI29tzO5nJBem/r+o0gOJQGFf/NDHaXrt0fFA==,"[1.0, 5090.0]","[0, 0]","[1.0, 904.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 673.0]","[0, 0]","[0, 0]","[1.0, 2830.0]","[0, 0]","[2.0, 1780.0]"
2187,cu8dNWsx9dTEiWK4N7T55xhUZQPii1aIsPRR3w==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 30488.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
2188,JpcMOXq7UA3O1HG5+mF5Sxn+IpLu2GyHlGNlvg==,"[4.0, 30104.0]","[21.0, 83365.0]","[4.0, 9379.0]","[3.0, 80246.0]","[5.0, 15117.0]","[10.0, 26264.0]","[8.0, 51570.0]","[3.0, 17847.0]","[14.0, 64685.0]","[3.0, 4322.0]","[5.0, 61839.0]","[3.0, 32245.0]","[8.0, 152488.0]","[7.0, 91986.0]","[0, 0]","[11.0, 27602.0]"
2189,3i+8+XLRdKfnp75VjQN1qkj63t+jvaKyAkOhNQ==,"[1.5, 3829.0]","[2.0, 11334.0]","[1.0, 674.0]","[4.0, 8221.5]","[2.0, 17479.0]","[6.5, 22829.5]","[0, 0]","[5.0, 7196.0]","[2.0, 11603.0]","[1.0, 26934.0]","[1.0, 2001.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3.0, 12953.0]"
2190,7H3MvU1qa6/Qn7s0QiQ3u+OP15md3eZQZV3r9Q==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 3866.0]","[0, 0]","[1.0, 45875.0]","[1.0, 81011.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 1778.0]","[0, 0]","[0, 0]"
